facility_name,facility_state,facility_address,facility_city,facility_zip,facility_phone_number,facility_extra_info
Henry County Department of Human Resources,Alabama,PO Box 367,Abbeville,36310,205-585-6447,""
All Saints Home Health Care,Alabama,2121Hwy119,Alabaster,35007,205-253-2016,"Services: Hospice, Private Duty Home Care, Home Care, Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Comfort Care Home Health Of Alabaster,Alabama,"1140 1ST STREET N, STE 200",Alabaster,35007,205-685-0421,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Family Comfort Hospice of Alabaster,Alabama,567 1st Street North,Alabaster,35007,205-663-5614,""
M.A.S.H. Of Alabaster,Alabama,PO Box 739,Alabaster,35007,"",""
New Beacon of Alabaster,Alabama,569 First Street North,Alabaster,35007,205-620-3508,""
Alacare Home Health and Hospice,Alabama,9044 US Highway 431 North,Albertville,35950,256-878-8731,""
Hospice of Marshall County,Alabama,408 Martling Road,Albertville,35951,256-891-7724,""
Alacare Home Health and Hospice,Alabama,33 Aliant Parkway,Alexander City,35010,256-329-0507,""
Russell Medical Center Hospice,Alabama,3368 Highway 280,Alexander City,35010,256-234-4863,""
Comfort Care Hospice of Andalusis,Alabama,"1805 East Three Notch Street, Suite 3",Andalusia,36420,334-427-4000,""
Covington County Home Care,Alabama,23989 Alabama Highway 55,Andalusia,36420,334-222-5970,""
Gentiva Health Services,Alabama,1309 Antioch Road,Andalusia,36420,334-222-2172,"Services: Home Health Aid, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Horizon Home Care,Alabama,1309 Antiock Road,Andalusia,36420,334-222-2102,""
LHC HomeCare of South Alabama,Alabama,504 East Three Notch St. Suite B,Andalusia,36420,334-222-2410,""
Amedisys Home Health Of Anniston,Alabama,"171 Town Center Dr, Suite Mps-4",Anniston,36205,256-835-9099,"Services: Home Care, Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Anniston Health and Sickroom Sup,Alabama,5502 McClellan Boulevard,Anniston,36206,"",""
Calhoun County Department of Human Resources,Alabama,PO Box 1869,Anniston,36202,256-231-8100,""
Calhoun County Health Environment,Alabama,3400 McClellan Boulevard,Anniston,36201,256-237-4324,""
