city,county,state
Abbeville,Henry County,Alabama
Abernant,Tuscaloosa County,Alabama
Adamsville,Jefferson County,Alabama
Addison,Winston County,Alabama
Adger,Jefferson County,Alabama
Akron,Hale County,Alabama
Alabaster,Shelby County,Alabama
Alberta,Wilcox County,Alabama
Albertville,Marshall County,Alabama
Alexander,Elmore County,Alabama
Alexander City,Tallapoosa County,Alabama
Alexandria,Calhoun County,Alabama
Aliceville,Pickens County,Alabama
Allgood,Blount County,Alabama
Alpine,Talladega County,Alabama
Alton,Jefferson County,Alabama
Altoona,Blount County,Alabama
Altoona,Etowah County,Alabama
Andalusia,Covington County,Alabama
Anderson,Lauderdale County,Alabama
Annemanie,Wilcox County,Alabama
Anniston,Randolph County,Alabama
Anniston,Calhoun County,Alabama
Arab,Cullman County,Alabama
Arab,Marshall County,Alabama
Ardmore,Limestone County,Alabama
Ariton,Dale County,Alabama
Arley,Winston County,Alabama
Arlington,Wilcox County,Alabama
Ashford,Houston County,Alabama
Ashland,Clay County,Alabama
Ashville,St. Clair County,Alabama
Ashville,St. Clair County,Alabama
Athens,Limestone County,Alabama
Atmore,Monroe County,Alabama
Atmore,Escambia County,Alabama
Attalla,Etowah County,Alabama
Auburn,Lee County,Alabama
Auburn University,Lee County,Alabama
Autaugaville,Autauga County,Alabama
Axis,Mobile County,Alabama
Baileyton,Cullman County,Alabama
Bakerhill,Barbour County,Alabama
Banks,Pike County,Alabama
Bankston,Fayette County,Alabama
Bay Minette,Baldwin County,Alabama
Bayou La Batre,Mobile County,Alabama
Bear Creek,Marion County,Alabama
Beatrice,Monroe County,Alabama
Beaverton,Lamar County,Alabama
Belk,Fayette County,Alabama
Bellamy,Sumter County,Alabama
Belle Mina,Limestone County,Alabama
Bellwood,Geneva County,Alabama
Berry,Tuscaloosa County,Alabama
Berry,Fayette County,Alabama
Bessemer,Jefferson County,Alabama
Billingsley,Chilton County,Alabama
Billingsley,Autauga County,Alabama
Birmingham,Jefferson County,Alabama
Birmingham,Shelby County,Alabama
Black,Geneva County,Alabama
Blountsville,Blount County,Alabama
Boaz,Etowah County,Alabama
Boaz,Marshall County,Alabama
Boligee,Greene County,Alabama
Bon Air,Talladega County,Alabama
Bon Secour,Baldwin County,Alabama
Booth,Autauga County,Alabama
Boykin,Wilcox County,Alabama
Branchville,St. Clair County,Alabama
Brantley,Crenshaw County,Alabama
Bremen,Cullman County,Alabama
Brent,Bibb County,Alabama
Brewton,Escambia County,Alabama
Bridgeport,Jackson County,Alabama
Brierfield,Bibb County,Alabama
Brighton,Jefferson County,Alabama
Brilliant,Marion County,Alabama
Brooklyn,Conecuh County,Alabama
Brookside,Jefferson County,Alabama
Brookwood,Tuscaloosa County,Alabama
Brownsboro,Madison County,Alabama
Brundidge,Pike County,Alabama
Bryant,Jackson County,Alabama
Bucks,Mobile County,Alabama
Buhl,Tuscaloosa County,Alabama
Burkville,Lowndes County,Alabama
Burnwell,Walker County,Alabama
Butler,Choctaw County,Alabama
Bynum,Calhoun County,Alabama
Calera,Shelby County,Alabama
Camden,Wilcox County,Alabama
Campbell,Clarke County,Alabama
Camp Hill,Tallapoosa County,Alabama
Capshaw,Limestone County,Alabama
Carbon Hill,Fayette County,Alabama
Carbon Hill,Walker County,Alabama
Carlton,Clarke County,Alabama
Carrollton,Pickens County,Alabama
Castleberry,Conecuh County,Alabama
Catherine,Wilcox County,Alabama
Cecil,Montgomery County,Alabama
Cedar Bluff,Cherokee County,Alabama
Center Point,Jefferson County,Alabama
Centre,Cherokee County,Alabama
Centreville,Bibb County,Alabama
Chancellor,Geneva County,Alabama
Chapman,Butler County,Alabama
Chelsea,Shelby County,Alabama
Cherokee,Colbert County,Alabama
Chickasaw,Mobile County,Alabama
Childersburg,Talladega County,Alabama
Choccolocco,Calhoun County,Alabama
Chunchula,Mobile County,Alabama
Citronelle,Mobile County,Alabama
Clanton,Chilton County,Alabama
Clay,Jefferson County,Alabama
Clayton,Barbour County,Alabama
Cleveland,Blount County,Alabama
Clinton,Greene County,Alabama
Clio,Barbour County,Alabama
Clopton,Henry County,Alabama
Cloverdale,Lauderdale County,Alabama
Coaling,Tuscaloosa County,Alabama
Coatopa,Sumter County,Alabama
Coden,Mobile County,Alabama
Coffee Springs,Geneva County,Alabama
Coffeeville,Clarke County,Alabama
Coker,Tuscaloosa County,Alabama
Columbia,Houston County,Alabama
Columbiana,Shelby County,Alabama
Cook Springs,St. Clair County,Alabama
Coosada,Elmore County,Alabama
Cordova,Walker County,Alabama
Cottondale,Tuscaloosa County,Alabama
Cottonton,Russell County,Alabama
Cottonwood,Houston County,Alabama
Courtland,Lawrence County,Alabama
Cowarts,Houston County,Alabama
Coy,Wilcox County,Alabama
Cragford,Clay County,Alabama
Crane Hill,Winston County,Alabama
Crane Hill,Cullman County,Alabama
Creola,Mobile County,Alabama
Cropwell,St. Clair County,Alabama
Cuba,Sumter County,Alabama
Cullman,Cullman County,Alabama
Cusseta,Chambers County,Alabama
Cusseta,Lee County,Alabama
Dadeville,Tallapoosa County,Alabama
Daleville,Dale County,Alabama
Danville,Lawrence County,Alabama
Danville,Morgan County,Alabama
Daphne,Baldwin County,Alabama
Dauphin Island,Mobile County,Alabama
Daviston,Tallapoosa County,Alabama
De Armanville,Calhoun County,Alabama
Deatsville,Autauga County,Alabama
Deatsville,Elmore County,Alabama
Decatur,Morgan County,Alabama
Delmar,Winston County,Alabama
Delta,Cleburne County,Alabama
Delta,Clay County,Alabama
